species,stakeno,Color,soil,Treatment,feedstock,temperature,trtno,repno,crop,tcn,tcngkg,log10tcngkg,arctcn,oc,arcoc,C/N ratio,leafaluminum,leaflog10aluminum,leafcalcium,leaflog10calcium,leafcopper,leaflog10copper,leafiron,leaflog10iron,leafpotassium,leaflog10potassium,leafpotassiumgg,leaflog10potassiummgg,leafmagnesium,leaflog10magnesium,leafmanganese,leaflog10manganese,leafsodium,leaflog10sodium,leafphosphorus,leaflog10phosphorus,leafzinc,leaflog10zinc,revisedrootdw,log10totrootdw,shdw,logshootdw,Ngshoot,log10Ngshoot,Alshoot,log10Alshoot,Cagshoot,log10Cagshoot,Feshoot,log10Feshoot,Kgshoot,log10Kgshoot,Mgshoot,log10Mgshoot,Mnshoot,Log10Mnshoot,Nashoot,log10Nashoot,Pgshoot,log10Pgshoot,Znshoot,log10Znshoot,Combined Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,353,Green,Norfolk,PC-350,PC,350,2,5,LS,3.3206,33.206,1.5212,0.183249005,38.965,0.674132109,11.73432512,190.84375,2.3,7349.6875,3.8663,,,137.3338235,2.1378,24171.32353,4.3833,24.1713,1.3833,4642.647059,3.6668,237.8988971,2.3764,586.4044118,2.7682,4265.147059,3.6299,96.62830882,1.9851,0.189,-0.723,0.843,-0.074120911,0.027992658,-1.552955862,160.8812813,2.206505516,6.195786563,0.792096448,115.7724132,2.063605086,20.37642574,1.309128006,3.913751471,0.592593244,0.20054877,-0.697779997,0.494338919,-0.305975196,3.595518971,0.555761585,81.45766434,1.910931953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,354,Green,Norfolk,PC-350,PC,350,2,6,LS,2.3927,23.927,1.3789,0.155307138,39.87,0.683392035,16.66318385,135.6584559,2.1,6994.761029,3.8448,,,107.2875,2.0305,15939.375,4.2025,15.9394,1.2025,4778.713235,3.6793,292.7371324,2.4665,370.5643382,2.5689,3087.738971,3.4896,85.80955882,1.9335,0.26,-0.585,1.025,0.010766234,0.024525175,-1.610387885,139.0499173,2.143170735,7.169630055,0.855496747,109.9696875,2.041272991,16.33785938,1.213195154,4.898181066,0.690034835,0.300055561,-0.52279832,0.379828447,-0.420412513,3.164932445,0.500364444,87.95479779,1.944259535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,355,Green,Norfolk,PL-350,PL,350,3,1,LS,1.0063,10.063,1.0027,0.100483516,38.055,0.664781718,37.81675445,104.9405512,2.0,1878.905512,3.2739,,,87.46220472,1.9418,27231.88976,4.4351,27.2319,1.4351,1867.314961,3.2712,149.536811,2.1747,5509.527559,3.7411,2645,3.4224,43.52066929,1.6387,0.8,-0.097,2.518,0.401072973,0.025338634,-1.596216802,264.2403079,2.421999067,4.731084079,0.674960666,220.2298315,2.342876147,68.56989843,1.836133506,4.701899071,0.672273302,0.37653369,-0.424196159,13.87299039,1.142170086,6.66011,0.823481402,109.5850453,2.039751291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,356,Green,Norfolk,PL-350,PL,350,3,2,LS,1.1708,11.708,1.0685,0.108415773,38.67,0.671105436,33.02869833,,,1582.754202,3.1994,,,65.79642857,1.8182,27950.21008,4.4464,27.9502,1.4464,1598.87605,3.2038,77.37205882,1.8886,6816.218487,3.8335,2979.159664,3.4741,31.64264706,1.5003,0.848,-0.072,2.065,0.314941087,0.02417702,-1.61659723,,,3.268387426,0.514333531,135.869625,2.133122377,57.71718382,1.761305133,3.301679044,0.518734853,0.159773301,-0.796495791,14.07549118,1.148463559,6.151964706,0.789013835,65.34206618,1.815192863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,357,Green,Norfolk,PL-350,PL,350,3,3,LS,0.801685,8.01685,0.9040,0.089656932,39.305,0.677615349,49.02798481,,,1368.648069,3.1363,,,43.45751073,1.6381,22166.7382,4.3457,22.1667,1.3457,1490.579399,3.1734,127.0924893,2.1041,3878.798283,3.5887,2241.824034,3.3506,34.31523605,1.5355,0.776,-0.110,3.087,0.489550698,0.024748016,-1.606459613,,,4.225016588,0.625828418,134.1533356,2.127601476,68.42872082,1.835238422,4.601418605,0.662891744,0.392334514,-0.406343485,11.9738503,1.078233824,6.920510794,0.84013815,105.9311337,2.02502362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,358,Green,Norfolk,PL-350,PL,350,3,4,LS,0.89923,8.9923,0.9539,0.094970437,39.02,0.674695942,43.3926804,,,1884.521552,3.2752,,,47.3325431,1.6752,22518.53448,4.3525,22.5185,1.3525,1833.637931,3.2633,121.406681,2.0842,3834.913793,3.5838,2203.491379,3.3431,37.75409483,1.5770,1.284,0.109,3.156,0.499150755,0.028379699,-1.546992218,,,5.947550017,0.774338103,149.381506,2.174296834,71.06849483,1.851677118,5.78696131,0.762450579,0.383159485,-0.416620419,12.10298793,1.0828926,6.954218793,0.84224835,119.1519233,2.076101057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,359,Green,Norfolk,PL-350,PL,350,3,5,LS,0.637325,6.37325,0.8044,0.07991768,39.39,0.678485323,61.80520143,,,1763.941606,3.2465,,,51.00967153,1.7077,19171.71533,4.2827,19.1717,1.2827,1646.366788,3.2165,114.4543796,2.0586,3263.631387,3.5137,1899.251825,3.2786,35.43740876,1.5495,1.003,0.001,4.054,0.607894457,0.025837156,-1.587755301,,,7.15101927,0.854367948,206.7932084,2.315536271,77.72213394,1.890544716,6.67437096,0.824410341,0.463998055,-0.33348384,13.23076164,1.121584846,7.699566898,0.886466297,143.6632551,2.157345702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,360,Green,Norfolk,PL-350,PL,350,3,6,LS,0.87638,8.7638,0.9427,0.093752449,39.11,0.675618269,44.62676008,,,1861.588448,3.2699,,,42.58646209,1.6293,24491.33574,4.3890,24.4913,1.3890,1948.032491,3.2896,117.1173285,2.0686,5445.938628,3.7361,2544.259928,3.4056,41.46588448,1.6177,1.21,0.083,2.898,0.462113367,0.025397492,-1.595209161,,,5.394883321,0.731982056,123.4155671,2.091369943,70.97589097,1.851110853,5.645398159,0.751694577,0.339406018,-0.469280461,15.78233014,1.198171124,7.373265271,0.867659859,120.1681332,2.079789315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,361,Green,Norfolk,SS-350,SS,350,4,1,LS,0.62099,6.2099,0.7931,0.078884707,41.035,0.695260726,66.07996908,,,2666.9375,3.4260,,,54.48958333,1.7363,7689.354167,3.8859,7.6894,0.8859,1806.079167,3.2567,114.6035417,2.0592,294.1729167,2.4686,1783.066667,3.2512,34.67708333,1.5400,0.903,-0.044,3.844,0.584794677,0.023870856,-1.622132014,,,10.25170775,1.010796217,209.4579583,2.321096866,29.55787742,1.470673244,6.942568317,0.841520162,0.440536014,-0.356018582,1.130800692,0.053386065,6.854108267,0.83595096,133.2987083,2.124825941,DO corrected shoot wt 3/27/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,362,Green,Norfolk,SS-350,SS,350,4,2,LS,0.74248,7.4248,0.8707,0.086274266,41.31,0.698054618,55.6378623,,,2654.266917,3.4239,,,46.0537594,1.6633,9385.037594,3.9724,9.3850,0.9724,1996.146617,3.3002,116.1135338,2.0649,372.0921053,2.5707,1952.593985,3.2906,35.11071429,1.5454,0.869,-0.061,2.962,0.471599716,0.021992258,-1.657730186,,,7.861938609,0.895529648,136.4112353,2.134850142,27.79848135,1.444021071,5.912586278,0.771777491,0.343928287,-0.463532103,1.102136816,0.04223551,5.783583383,0.762197001,103.9979357,2.017024719,DO 12/4/19 comment from 12/2/13 that may have pulled  smaller emergent plant.  Plant left in as data within normal range of treatment varieance even though smallest in this treatment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,363,Green,Norfolk,SS-350,SS,350,4,3,LS,0.747995,7.47995,0.8739,0.086594888,41.11,0.696022975,54.96026043,,,3355.603113,3.5258,,,48.20914397,1.6831,10041.43969,4.0018,10.0414,1.0018,2178.190661,3.3381,124.183463,2.0941,300.2821012,2.4775,2015.252918,3.3043,42.5688716,1.6291,0.777,-0.110,3.241,0.510692431,0.024242518,-1.615422274,,,10.87550969,1.03644962,156.2458356,2.193808451,32.54430603,1.512475015,7.059515934,0.848774923,0.402478604,-0.395257202,0.97321429,-0.011791523,6.531434708,0.81500859,137.9657128,2.139771169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,364,Green,Norfolk,SS-350,SS,350,4,4,LS,0.73035,7.3035,0.8635,0.085564887,41.415,0.699120645,56.70568905,,,2688.709016,3.4295,,,59.99098361,1.7781,9172.868852,3.9625,9.1729,0.9625,2117.090164,3.3257,157.855123,2.1983,375.6680328,2.5748,2089.508197,3.3200,41.47745902,1.6178,0.494,-0.306,3.286,0.516680775,0.023999301,-1.619801407,,,8.835097828,0.946211363,197.1303721,2.294753542,30.14204705,1.479172743,6.956758279,0.842406914,0.518711934,-0.28507376,1.234445156,0.0914718,6.866123934,0.836711638,136.2949303,2.134479702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,365,Green,Norfolk,SS-350,SS,350,4,5,LS,0.582415,5.82415,0.7652,0.076390393,41.04,0.695311549,70.4652181,,,3035.341727,3.4822,,,59.91079137,1.7775,8034.280576,3.9049,8.0343,0.9049,2453.938849,3.3899,128.7088129,2.1096,246.3615108,2.3916,1931.115108,3.2858,51.4971223,1.7118,0.48,-0.319,3.79,0.578650669,0.022073529,-1.656128238,,,11.50394514,1.060846802,227.0618993,2.356144266,30.44992338,1.483586204,9.300428237,0.968502946,0.487806401,-0.311752505,0.933710126,-0.029787931,7.318926259,0.864447371,195.1740935,2.290422171,DO reweighed root 0.496 original OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,366,Green,Norfolk,SS-350,SS,350,4,6,LS,0.585375,5.85375,0.7674,0.076584645,41.935,0.704394283,71.63783899,91.01825397,2.0,3395.753968,3.5309,,,67.67123016,1.8304,8284.761905,3.9183,8.2848,0.9183,2420.079365,3.3838,113.2805556,2.0542,265.9345238,2.4248,1928.474206,3.2852,54.07757937,1.7330,0.676,-0.170,3.892,0.59018399,0.022782795,-1.642392998,354.2430444,2.549301332,13.21627444,1.121109048,263.3764278,2.420576903,32.24429333,1.508452863,9.418948889,0.97400244,0.440887922,-0.355671798,1.035017167,0.014947553,7.505621611,0.875386666,210.4699389,2.323190075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,367,Green,Norfolk,SG-350,SG,350,5,1,LS,3.39515,33.9515,1.5309,0.185318234,36.16,0.645166969,10.65048672,95.20396226,2.0,7374.54717,3.8677,,,87.93735849,1.9442,26258.67925,4.4193,26.2587,1.4193,4471.811321,3.6505,236.7943396,2.3744,568.4830189,2.7547,4647.264151,3.6672,103.3379245,2.0143,0.168,-0.774,0.646,-0.189700259,0.021932669,-1.658908516,61.50175962,1.788887542,4.763957472,0.677967876,56.80753358,1.754405934,16.96310679,1.229505396,2.888790113,0.460715989,0.152969143,-0.815396165,0.36724003,-0.435049986,3.002132642,0.477429877,66.75629925,1.824492253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,368,Green,Norfolk,SG-350,SG,350,5,2,LS,1.6894,16.894,1.2277,0.130345703,40.19,0.68665762,23.78951107,115.7046218,2.1,4405.546218,3.6440,,,83.11554622,1.9197,16331.53361,4.2130,16.3315,1.2130,2731.491597,3.4364,164.0264706,2.2149,366.7962185,2.5644,2568.94958,3.4098,64.7512605,1.8112,0.314,-0.503,1.301,0.114310677,0.021979094,-1.657990214,150.531713,2.177628004,5.73161563,0.758277058,108.1333256,2.03395956,21.24732523,1.327304266,3.553670567,0.550677165,0.213398438,-0.670808763,0.47720188,-0.321297854,3.342203403,0.524032877,84.24138992,1.925525524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,369,Green,Norfolk,SG-350,SG,350,5,3,LS,2.2674,22.674,1.3555,0.151153806,39.54,0.68001977,17.43847579,96.01622642,2.0,6754.603774,3.8296,,,75.83,1.8798,19420.37736,4.2883,19.4204,1.2883,4702.056604,3.6723,100.4413208,2.0019,395.1132075,2.5967,3528.339623,3.5476,90.99943396,1.9590,0.219,-0.659,0.739,-0.131296798,0.016756086,-1.775827419,70.95599132,1.850989072,4.991652189,0.698244317,56.03837,1.748485494,14.35165887,1.156902103,3.47481983,0.540932291,0.074226136,-1.129443147,0.29198866,-0.534634014,2.607442981,0.41621482,67.2485817,1.827683129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,370,Green,Norfolk,SG-350,SG,350,5,4,LS,2.7374,27.374,1.4373,0.166215194,39.09,0.675413341,14.2799737,173.2552521,2.2,7419.936975,3.8704,,,121.3672269,2.0841,23662.81513,4.3741,23.6628,1.3741,4709.180672,3.6729,151.2170168,2.1796,574.9096639,2.7596,4107.836134,3.6136,101.8090336,2.0078,0.19,-0.721,0.853,-0.069000058,0.023350022,-1.631712706,147.78673,2.16963544,6.329206239,0.801349248,103.5262445,2.01505046,20.1843813,1.305015442,4.016931113,0.603894384,0.128988115,-0.889450303,0.490397943,-0.30945136,3.503984223,0.544562142,86.84310567,1.938735346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,371,Green,Norfolk,SG-350,SG,350,5,5,LS,1.6973,16.973,1.2298,0.130651852,39.805,0.682728178,23.4519531,210.7913223,2.3,6450.454545,3.8096,,,136.4520661,2.1350,16643.05785,4.2212,16.6431,1.2212,4097.417355,3.6125,200.3506198,2.3018,383.768595,2.5841,3075.681818,3.4879,91.13863636,1.9597,0.239,-0.621,1.334,0.125188384,0.022641982,-1.645085559,281.195624,2.449008558,8.604906364,0.934746149,182.0270562,2.260135946,22.20183917,1.346388952,5.465954752,0.737666032,0.267267727,-0.57305348,0.511947306,-0.290774738,4.102959545,0.613097235,121.5789409,2.084858356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,372,Green,Norfolk,SG-350,SG,350,5,6,LS,1.82985,18.2985,1.2624,0.135687928,40.04,0.685127417,21.88157499,,,5586.804348,3.7472,,,64.88695652,1.8122,18847.06522,4.2752,18.8471,1.2752,3396.695652,3.5311,91.57891304,1.9618,375.75,2.5749,3067.434783,3.4868,77.84391304,1.8912,0.165,-0.782,1.016,0.006936451,0.018591276,-1.730690802,,,5.676193217,0.75405717,65.92514783,1.819051112,19.14861826,1.282137441,3.451042783,0.537950343,0.093044176,-1.031310808,0.381762,-0.418207303,3.116513739,0.493669046,79.08941565,1.898118367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,373,Green,Norfolk,55-350,55,350,6,1,LS,0.675205,6.75205,0.8294,0.082263611,40.025,0.684974345,59.27829326,,,2365.981132,3.3740,,,35.62735849,1.5518,16073.33962,4.2061,16.0733,1.2061,1951.226415,3.2903,75.53339623,1.8781,2496.226415,3.3973,1863.050943,3.2702,35.19716981,1.5465,1.084,0.035,3.308,0.519578629,0.022335781,-1.650998849,,,7.826665585,0.893576778,117.8553019,2.071349125,53.17060747,1.725671622,6.454656981,0.809873168,0.249864475,-0.602295487,8.257516981,0.916849475,6.162972521,0.789790231,116.4322377,2.066073244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,374,Green,Norfolk,55-350,55,350,6,2,LS,0.51933,5.1933,0.7154,0.072127076,40.085,0.685586577,77.18598964,,,3007.687747,3.4782,,,40.14683794,1.6037,16710.11858,4.2230,16.7101,1.2230,2182.193676,3.3389,107.4573123,2.0312,2473.695652,3.3933,1957.673913,3.2917,47.20928854,1.6740,1.374,0.138,3.588,0.554864538,0.01863356,-1.729704155,,,10.79158364,1.033085181,144.0468545,2.158503779,59.95590545,1.777831966,7.829710909,0.893745727,0.385556836,-0.413911592,8.87562,0.9481987,7.024134,0.846592788,169.3869273,2.22887989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,375,Green,Norfolk,55-350,55,350,6,3,LS,0.67169,6.7169,0.8272,0.082048723,40.07,0.685433534,59.65549584,,,1840.807836,3.2650,,,42.6266791,1.6297,16475.95149,4.2169,16.4760,1.2169,1423.753731,3.1534,99.64235075,1.9984,2211.884328,3.3448,1940.988806,3.2880,31.2119403,1.4943,0.898,-0.047,3.682,0.566095579,0.024731626,-1.606747333,,,6.777854451,0.831092239,156.9514325,2.195765284,60.6644534,1.782934289,5.242261239,0.719518659,0.366883135,-0.435472251,8.144158097,0.910846196,7.146720784,0.854106815,114.9223642,2.060404552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,376,Green,Norfolk,55-350,55,350,6,4,LS,0.56594,5.6594,0.7528,0.075300124,38.935,0.673824503,68.79704562,135.4763258,2.1,2260.056818,3.3541,,,90.7844697,1.9580,16312.10227,4.2125,16.3121,1.2125,2103.011364,3.3228,75.31685606,1.8769,2975.454545,3.4736,1847.130682,3.2665,32.63295455,1.5137,0.95,-0.022,3.968,0.598582608,0.022456499,-1.648657946,537.5700606,2.730435073,8.967905455,0.952691021,360.2327758,2.556583225,64.72642182,1.811081599,8.344749091,0.921413283,0.298857285,-0.524536153,11.80660364,1.072124984,7.329414545,0.865069286,129.4875636,2.11222806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,377,Green,Norfolk,55-350,55,350,6,5,LS,0.567635,5.67635,0.7541,0.075413016,40.66,0.691446266,71.63053723,,,2174.087452,3.3373,,,35.85190114,1.5545,15790.36122,4.1984,15.7904,1.1984,1998.060837,3.3006,62.40741445,1.7952,2619.410646,3.4182,1853.393536,3.2680,29.12775665,1.4643,0.873,-0.059,3.277,0.515489694,0.018601399,-1.730454393,,,7.124484582,0.852753451,117.48668,2.069988632,51.74501371,1.713868506,6.547645361,0.816085149,0.204509097,-0.689287369,8.583808688,0.93368003,6.073570618,0.783444085,95.45165856,1.979783479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,378,Green,Norfolk,55-350,55,350,6,6,LS,0.572105,5.72105,0.7575,0.07570993,39.585,0.680479908,69.19184415,,,2646.975806,3.4227,,,33.33104839,1.5228,17577.25806,4.2450,17.5773,1.2450,2207.177419,3.3438,90.13225806,1.9549,2411.391129,3.3823,1972.71371,3.2951,38.89677419,1.5899,0.89,-0.051,3.775,0.57692846,0.021596964,-1.665607301,,,9.992333669,0.999666928,125.8247077,2.09976593,66.35414919,1.821868085,8.332094758,0.9207542,0.340249274,-0.468202793,9.103001512,0.959184615,7.446994254,0.871981019,146.8353226,2.166830542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,379,Green,Norfolk,82-350,82,350,7,1,LS,0.63202,6.3202,0.8007,0.079583667,40.61,0.690937258,64.25429575,,,2593.802521,3.4139,,,37.01302521,1.5684,12513.88655,4.0974,12.5139,1.0974,1573.086134,3.1968,108.3794118,2.0349,1023.203782,3.0100,1630.855042,3.2124,35.91995798,1.5553,0.616,-0.210,3.367,0.527256015,0.021280113,-1.672026062,,,8.733333088,0.941180024,124.6228559,2.095597699,42.13425603,1.62463533,5.296581015,0.723995619,0.364913479,-0.437810094,3.445127132,0.537205253,5.491088926,0.739658477,120.9424985,2.082578936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,380,Green,Norfolk,82-350,82,350,7,2,LS,0.58475,5.8475,0.7670,0.07654367,40.23,0.687065516,68.79863189,,,2901.870504,3.4627,,,40.87104317,1.6114,14045.64748,4.1475,14.0456,1.1475,1451.723022,3.1619,115.7433453,2.0635,993.1438849,2.9970,1803.52518,3.2561,36.82931655,1.5662,0.855,-0.068,3.333,0.522848344,0.019489718,-1.710194456,,,9.671934388,0.985513342,136.2231869,2.134251036,46.81414306,1.670377078,4.838592831,0.684719078,0.38577257,-0.413668656,3.310148568,0.519847487,6.011149424,0.778957524,122.7521121,2.089028973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,381,Green,Norfolk,82-350,82,350,7,3,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-4.000,0,-4,,,,,,,,,,,,,,,,,,,,,"DO plants died, no plants no sample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
